zcta,downloadDate,population,fullyVaxxed,pctFullyVaxxed
46225,2021-09-02,5577,2624,0.47050385511924
46226,2021-09-02,45652,16512,0.361692806448787
46227,2021-09-02,54876,26719,0.486897733070924
46228,2021-09-02,16430,9040,0.550213024954352
46229,2021-09-02,28768,11759,0.408752780867631
46231,2021-09-02,10277,5336,0.519217670526418
46234,2021-09-02,26864,14337,0.53368820726623
46235,2021-09-02,33063,11365,0.343737712851223
46236,2021-09-02,28705,16312,0.568263368751089
46237,2021-09-02,39169,23159,0.591258393117006
46239,2021-09-02,30651,15422,0.503148347525366
46240,2021-09-02,19785,12863,0.650138994187516
46241,2021-09-02,31941,11169,0.34967596506058
46250,2021-09-02,18402,11218,0.609607651342245
46254,2021-09-02,40276,17046,0.42322971496673
46256,2021-09-02,23837,14150,0.593614968326551
46259,2021-09-02,10999,7620,0.692790253659424
46260,2021-09-02,34445,18307,0.531484976048773
46268,2021-09-02,25443,14065,0.552804307668121
46278,2021-09-02,8859,6033,0.681002370470708
46280,2021-09-02,6824,4641,0.680099648300117
46290,2021-09-02,187,151,0.807486631016043
46301,2021-09-02,516,506,0.98062015503876
46303,2021-09-02,14765,6788,0.459735861835422
46304,2021-09-02,25351,14011,0.552680367638358
46307,2021-09-02,62779,34319,0.546663693273228
46310,2021-09-02,13832,5275,0.381362058993638
46311,2021-09-02,21632,11154,0.515625
46312,2021-09-02,28201,9143,0.324208361405624
46319,2021-09-02,17513,7654,0.437046765260093
46320,2021-09-02,13561,4876,0.359560504387582
46321,2021-09-02,22689,13787,0.607651284763542
46322,2021-09-02,22581,11561,0.511979097471325
46323,2021-09-02,22195,8420,0.379364721784186
46324,2021-09-02,21820,8262,0.378643446379468
46327,2021-09-02,11466,3995,0.348421419849991
46340,2021-09-02,742,461,0.621293800539084
46341,2021-09-02,10357,4290,0.414212609829101
46342,2021-09-02,30874,13881,0.449601606529766
46345,2021-09-02,170,86,0.505882352941176
46346,2021-09-02,1208,418,0.346026490066225
46347,2021-09-02,4833,1939,0.401200082764329
46348,2021-09-02,1031,414,0.401551891367604
46349,2021-09-02,3251,969,0.298062134727776
46350,2021-09-02,42763,19545,0.45705399527629
46356,2021-09-02,17720,7638,0.431038374717833
46360,2021-09-02,43678,20261,0.463871972159897
46365,2021-09-02,755,404,0.535099337748344
46366,2021-09-02,5610,1877,0.33458110516934
46368,2021-09-02,38661,17672,0.457101471767414
46371,2021-09-02,3246,1493,0.459950708564387
46373,2021-09-02,16083,8992,0.559099670459491
46374,2021-09-02,873,361,0.413516609392898
46375,2021-09-02,23598,12842,0.544198660903466
46376,2021-09-02,243,113,0.465020576131687
46377,2021-09-02,332,123,0.370481927710843
46379,2021-09-02,81,0,0
46381,2021-09-02,176,71,0.403409090909091
46382,2021-09-02,1713,869,0.507297139521308
46383,2021-09-02,42245,21255,0.503136465853947
46385,2021-09-02,39398,21606,0.548403472257475
46390,2021-09-02,3327,1222,0.367297865945296
46391,2021-09-02,9528,3931,0.412573467674223
46392,2021-09-02,7734,2721,0.351823118696664
46393,2021-09-02,296,131,0.442567567567568
46394,2021-09-02,12319,5320,0.43185323484049
46402,2021-09-02,6295,1504,0.238919777601271
46403,2021-09-02,13435,4414,0.328544845552661
46404,2021-09-02,17894,5079,0.283838158041802
46405,2021-09-02,10855,3948,0.363703362505758
46406,2021-09-02,9042,2526,0.27936297279363
46407,2021-09-02,10905,2938,0.269417698303531
46408,2021-09-02,15526,4841,0.31179956202499
46409,2021-09-02,7205,1982,0.275086745315753
