zcta,downloadDate,cases
46781,2021-08-12,
46786,2021-08-12,
47387,2021-08-12,
47468,2021-08-12,
47470,2021-08-12,155
47514,2021-08-12,237
46764,2021-08-12,
46766,2021-08-12,
46776,2021-08-12,
46788,2021-08-12,314
46070,2021-08-12,267
46162,2021-08-12,
46175,2021-08-12,
46745,2021-08-12,250
47950,2021-08-12,
47977,2021-08-12,269
47995,2021-08-12,199
46030,2021-08-12,334
47611,2021-08-12,
47619,2021-08-12,202
47631,2021-08-12,218
47637,2021-08-12,172
46340,2021-08-12,
46365,2021-08-12,
46747,2021-08-12,270
47003,2021-08-12,
46760,2021-08-12,
46917,2021-08-12,200
46982,2021-08-12,246
47326,2021-08-12,120
47989,2021-08-12,
46068,2021-08-12,333
46105,2021-08-12,171
46156,2021-08-12,
47141,2021-08-12,155
47175,2021-08-12,
47340,2021-08-12,222
47341,2021-08-12,187
47145,2021-08-12,184
47230,2021-08-12,175
47272,2021-08-12,186
47273,2021-08-12,173
46911,2021-08-12,
46939,2021-08-12,166
46960,2021-08-12,
46979,2021-08-12,665
46919,2021-08-12,273
47108,2021-08-12,181
47125,2021-08-12,130
47177,2021-08-12,
46056,2021-08-12,217
46065,2021-08-12,460
46149,2021-08-12,192
46374,2021-08-12,
46931,2021-08-12,
47116,2021-08-12,
47120,2021-08-12,
47351,2021-08-12,
47930,2021-08-12,
47974,2021-08-12,
46017,2021-08-12,574
46035,2021-08-12,
47346,2021-08-12,385
47356,2021-08-12,645
47393,2021-08-12,126
47456,2021-08-12,
46732,2021-08-12,336
46740,2021-08-12,225
46741,2021-08-12,319
46746,2021-08-12,463
47459,2021-08-12,284
47471,2021-08-12,207
47558,2021-08-12,264
47613,2021-08-12,307
47358,2021-08-12,
47523,2021-08-12,458
47532,2021-08-12,594
47598,2021-08-12,364
46510,2021-08-12,321
46532,2021-08-12,166
46543,2021-08-12,317
46737,2021-08-12,747
47579,2021-08-12,393
47581,2021-08-12,273
47850,2021-08-12,232
47922,2021-08-12,255
46705,2021-08-12,173
46730,2021-08-12,
46794,2021-08-12,144
46798,2021-08-12,116
47635,2021-08-12,586
47809,2021-08-12,48
47952,2021-08-12,240
47959,2021-08-12,345
46120,2021-08-12,532
46130,2021-08-12,227
46172,2021-08-12,209
46182,2021-08-12,237
47805,2021-08-12,1564
46779,2021-08-12,227
46785,2021-08-12,135
46787,2021-08-12,350
46910,2021-08-12,440
47024,2021-08-12,226
