zcta,vote16Trump,acsSchPub,acsSchPrv,acsWhiteNonHisp,acsBlackNonHisp,acsAsianNonHisp,acsHispanic,acsOther,acsBAorMore,upsai
47335,0.801358234295416,111,0,736,2,0,15,0,0.137735849056604,suburban
47367,0.740458015267176,0,0,57,0,0,0,0,0,rural
47388,0.815406976744186,69,0,334,0,0,1,0,0.176190476190476,rural
47405,0.165487952204372,0,0,2732,113,382,302,168,0.833333333333333,suburban
47434,0.555684454756381,0,0,0,0,0,0,0,,rural
47437,0.799674267100977,0,8,155,0,0,0,0,0,rural
47457,0.767482517482518,67,0,166,0,11,0,15,0.0892857142857143,rural
47458,0.571194762684124,18,0,58,0,0,0,0,0.525,rural
47809,0.286472148541114,0,0,1792,476,48,144,56,1,urban
47857,0.769021739130435,27,0,402,6,4,0,8,0.0705882352941176,suburban
47869,0.811428571428571,0,0,90,34,0,0,0,0,rural
47871,0.691516053928204,72,5,317,0,0,0,4,0.109375,rural
47880,0.660162601626016,29,0,78,0,0,0,0,0.224489795918367,rural
47907,,0,0,0,0,0,0,0,,
47382,0.774834437086093,35,5,250,0,0,0,5,0.0745341614906832,rural
47522,0.749181798168096,30,43,268,44,8,76,41,0.124401913875598,rural
47574,0.668587896253602,29,0,213,0,0,0,0,0.43609022556391,rural
47630,0.661243274182675,5936,1421,32466,935,1501,824,456,0.393317843121545,suburban
47805,0.638936010810976,1736,162,12045,157,24,136,262,0.255064875938994,rural
47536,0.634146341463415,0,0,0,0,0,0,0,,rural
47537,0.664072665320293,123,0,886,0,0,10,0,0.110606060606061,rural
47568,0.887259436700366,105,20,824,5,0,0,0,0.142857142857143,rural
47576,0.677865612648221,47,0,341,0,0,0,0,0.216216216216216,rural
47588,0.624869924704541,82,5,589,0,0,24,2,0.131958762886598,rural
47590,0.789594901197901,32,0,413,0,0,0,0,0.172043010752688,rural
47596,0.871951219512195,19,0,71,0,0,0,0,0.255813953488372,rural
47616,0.735113826543514,36,0,265,0,0,0,0,0.401273885350319,rural
47648,0.75662960288959,658,195,3843,13,66,110,187,0.188591800356506,rural
47683,0.751937984496124,65,0,235,0,0,0,0,0.0967741935483871,rural
47708,0.244698205546493,6,0,416,29,0,0,0,0.317972350230415,urban
47443,0.824829050183836,307,0,1244,9,13,9,0,0.107270560190703,rural
47396,0.660590399795006,1155,0,6636,130,55,0,82,0.291946992864424,rural
47403,0.449713749663226,4323,826,28061,1677,864,1746,1157,0.367452893523699,suburban
47432,0.709260359074425,704,9,3610,453,13,120,190,0.0996913580246914,rural
47452,0.791142447332646,954,76,5283,0,0,50,27,0.111923509561305,rural
47464,0.690340909090909,22,7,208,0,0,4,0,0.186335403726708,rural
