ncesID,corpID,corpName,firstDay2122,enrollment2021,maskMandate,maskMandateDate,virtual,virtualDate,vote16Trump,population,acsSchPub,acsSchPrv,acsWhiteNonHisp,acsBlackNonHisp,acsAsianNonHisp,acsHispanic,acsOther,acsBAorMore,upsai
1811430,8535,Tri-County School Corporation,2021-08-12,749,FALSE,,FALSE,,0.784157879511283,4106,619,145,3917,70,22,59,38,0.18496898941992,rural
1811460,4645,Tri-Creek School Corporation,2021-08-17,3168,TRUE,2021-09-03,FALSE,,0.674721132758341,20682,4106,429,19054,41,31,1357,199,0.187859797420389,rural
1811490,5495,Triton School Corporation,2021-08-11,882,FALSE,,FALSE,,0.833175596984617,6121,1123,175,5691,79,39,169,143,0.146823411705853,rural
1811580,8565,Twin Lakes School Corp,2021-08-09,2248,FALSE,,FALSE,,0.717703352328597,14790,2494,217,13366,122,43,936,323,0.172420370017166,rural
1811610,7950,Union Co/Clg Corner Joint Sch Dist,2021-08-11,1315,FALSE,,FALSE,,0.76828039626447,7362,1072,46,7036,4,145,126,51,0.182046332046332,rural
1802220,6750,Cloverdale Community Schools,2021-08-11,1041,FALSE,,FALSE,,0.81020588930427,7228,1132,46,7030,0,6,27,165,0.0754493383369544,rural
1802280,8665,Whitley County Con Schools,2021-08-19,3538,FALSE,,FALSE,,0.759184943270209,22987,3122,783,22022,117,62,289,497,0.239485189974752,rural
1802400,2270,Concord Community Schools,2021-08-11,5188,FALSE,,FALSE,,0.641439824252381,26901,5211,239,18938,2160,155,4907,741,0.172706552706553,suburban
1802430,2440,Covington Community School Corp,2021-08-12,827,FALSE,,FALSE,,0.782814952370774,5473,854,83,5258,16,72,72,55,0.175297773174521,rural
1802440,1300,Crawford County Community Sch Corp,2021-08-03,1391,FALSE,,FALSE,,0.693940667809067,10933,1890,100,10508,41,2,160,222,0.105153565851119,rural
1802460,5855,Crawfordsville Community Schools,2021-08-04,2546,TRUE,2021-09-03,FALSE,,0.668986837880226,14949,2416,167,12794,192,180,1354,429,0.1872647746923,suburban
1802490,4660,Crown Point Community School Corp,2021-08-18,8753,TRUE,2021-09-01,FALSE,,0.5929801132738,44534,8267,944,39063,764,703,3494,510,0.313264903276747,suburban
1811700,6530,Union Township School Corp,2021-08-11,1435,FALSE,,FALSE,,0.619981656164311,9038,1594,212,8030,47,178,592,191,0.314294680684136,rural
1811730,6795,Union School Corporation,2021-08-04,6358,FALSE,,FALSE,,0.797909620071016,2930,439,37,2868,14,12,12,24,0.162535748331745,rural
1811910,7215,Union-North United School Corp,2021-08-11,1260,FALSE,,FALSE,,0.749164895820211,7995,1273,167,7480,5,78,250,182,0.177984665936473,rural
1811970,6560,Valparaiso Community Schools,2021-08-11,6261,TRUE,2021-09-07,FALSE,,0.481527751551151,45107,6219,1047,39271,1171,981,2912,772,0.41693232983863,suburban
1806120,3995,Madison Consolidated Schools,2021-08-11,2742,TRUE,2021-08-04,FALSE,,0.659824199373362,22858,2781,645,20877,538,275,805,363,0.184977375565611,rural
